"","FTHG","FTAG","Freq","Prob"
"1","0","0",33,0.0868
"2","1","0",43,0.1132
"3","2","0",39,0.1026
"4","3","0",14,0.0368
"5","4","0",4,0.0105
"6","5","0",2,0.0053
"7","6","0",1,0.0026
"8","0","1",28,0.0737
"9","1","1",49,0.1289
"10","2","1",35,0.0921
"11","3","1",14,0.0368
"12","4","1",5,0.0132
"13","5","1",3,0.0079
"14","6","1",0,0
"15","0","2",15,0.0395
"16","1","2",32,0.0842
"17","2","2",20,0.0526
"18","3","2",7,0.0184
"19","4","2",4,0.0105
"20","5","2",3,0.0079
"21","6","2",0,0
"22","0","3",8,0.0211
"23","1","3",5,0.0132
"24","2","3",3,0.0079
"25","3","3",2,0.0053
"26","4","3",0,0
"27","5","3",0,0
"28","6","3",0,0
"29","0","4",2,0.0053
"30","1","4",3,0.0079
"31","2","4",2,0.0053
"32","3","4",1,0.0026
"33","4","4",1,0.0026
"34","5","4",0,0
"35","6","4",0,0
"36","0","5",2,0.0053
"37","1","5",0,0
"38","2","5",0,0
"39","3","5",0,0
"40","4","5",0,0
"41","5","5",0,0
"42","6","5",0,0
